# b_ss,c_ss,EulErr_ss,RCerr_ss,w_ss,r_ss,K_ss,Y_ss,C_ss,BQ_ss
5.378111139990987333e+00,1.098230140118571896e+00,-1.332267629550187849e-15,-3.213648611022865056e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
5.800188210469571892e+00,1.099049534946317408e+00,1.110223024625156540e-15,-3.144794382175230066e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
6.255921355440365872e+00,1.099869541128514427e+00,-4.440892098500626162e-16,-3.101685546061277218e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
6.748057095836437647e+00,1.100690159121295864e+00,2.220446049250313081e-16,-3.129379958581016488e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.279566131789548145e+00,1.101511389381137462e+00,-3.330669073875469621e-16,-3.147905881415120465e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.853661640838201841e+00,1.102333232364854254e+00,-2.220446049250313081e-16,-3.125467916844978673e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
8.473819069692751782e+00,1.103155688529602330e+00,-1.110223024625156540e-16,-3.120256263639486181e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
8.386185264549926188e+00,1.103978758332878840e+00,4.440892098500626162e-16,-3.132264588855719883e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
8.290599769326043145e+00,1.104802442232521997e+00,1.776356839400250465e-15,-3.130733300149760208e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
8.186412946222935361e+00,1.105626740686716403e+00,-3.774758283725532237e-15,-3.127364625170496199e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
8.072922131525880118e+00,1.106451654153975284e+00,4.773959005888173124e-15,-3.128881260189846254e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.949367307461878696e+00,1.107277183093174244e+00,-4.773959005888173124e-15,-3.112747696690307351e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.814926420781420191e+00,1.108103327963509521e+00,2.109423746787797427e-15,-3.119054901672412092e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.668710319228268624e+00,1.108930089224537063e+00,-1.665334536937734811e-15,-3.111438533349787303e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.509757274708013242e+00,1.109757467336145886e+00,-5.551115123125782702e-16,-3.103935495185798556e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.337027059420508479e+00,1.110585462758569619e+00,3.108624468950438313e-15,-3.095966658938863018e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.149394538467677584e+00,1.111414075952392722e+00,-2.664535259100375697e-15,-3.089824626495500572e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
6.945642739469886529e+00,1.112243307378531831e+00,4.440892098500626162e-16,-3.112051536863297968e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
6.724455356502721415e+00,1.113073157498255306e+00,1.110223024625156540e-16,-3.132584438352254991e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
6.484408642181582749e+00,1.113903626773172562e+00,1.110223024625156540e-15,-3.143886161323452676e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
6.223962637952842769e+00,1.114734715665241183e+00,-2.442490654175344389e-15,-3.149877165526967279e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
5.941451688573887502e+00,1.115566424636755372e+00,1.998401444325281773e-15,-3.136945294421370455e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
5.635074182355322314e+00,1.116398754150362826e+00,1.221245327087672194e-15,-3.134731329987188158e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
5.302881453969592762e+00,1.117231704669054970e+00,-2.775557561562891351e-15,-3.129031500273925150e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
4.942765781472096442e+00,1.118065276656162510e+00,0.000000000000000000e+00,-3.131305150024081725e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
4.552447403601565412e+00,1.118899470575367872e+00,-2.220446049250313081e-16,-3.123258719999545512e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
4.129460477391827311e+00,1.119734286890697650e+00,-5.551115123125782702e-16,-3.131464057439976856e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
3.671137889599863868e+00,1.120569726066523497e+00,8.881784197001252323e-16,-3.141952366400722202e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
3.174594828395052026e+00,1.121405788567567008e+00,-1.221245327087672194e-15,-3.154167059374916697e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.636711014118216401e+00,1.122242474858891281e+00,9.992007221626408864e-16,-3.175429794077211116e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.054111479659586958e+00,1.123079785405912023e+00,-1.110223024625156540e-15,-3.187144636372859184e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.423145782070997400e+00,1.123917720674387111e+00,4.440892098500626162e-16,-3.199340581297586625e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.398655173647615824e-01,1.124756281130425695e+00,-2.220446049250313081e-16,-3.206696092389549335e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
